hhid,year,month,subreg,region,covid,urban,eacode,mult,rmult,regurb,equiv,hsize,usize,rexp30,nrrexp30,fnrfxp30,cpexp30,fcpexp30,welfare,hmult,plinen,ctpline,hpline,spline,fplinen,povlinen,spline_n,hpline_n,poor_20,poor_new,quints,decile
100702,2020,11,Karamoja,Northern,Covid period,Rural,1007,270.37036,270,North rural,5.317066669464111,8,8,121973.02,232740.86,136483.91,125310.77,73496.984,23567.65,2162.9629,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
100703,2020,11,Karamoja,Northern,Covid period,Rural,1007,253.01433,253,North rural,4.359500020742416,7,7,86678.32,164136.34,75139.875,88369.148,40463.047,20270.479,1771.1003,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
100704,2020,11,Karamoja,Northern,Covid period,Rural,1007,256.87122,257,North rural,1.879166662693024,2,2,117023.9,227166.08,145096.22,122114.55,78134.742,64983.355,513.74243,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 3,5
100705,2020,11,Karamoja,Northern,Covid period,Rural,1007,256.87122,257,North rural,1.726433277130127,2,2,61159.086,117985.49,61780.785,63387.371,33269.137,36715.797,513.74243,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
100706,2020,11,Karamoja,Northern,Covid period,Rural,1007,262.27087,262,North rural,3.176166623830795,5,5,124259.9,235852.83,106223.87,126765.24,57201.867,39911.395,1311.3544,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
100707,2020,11,Karamoja,Northern,Covid period,Rural,1007,229.87296,230,North rural,.8636999726295471,1,1,86877.055,167868.55,90059.547,90255.531,48497.332,104498.71,229.87296,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 4,8
100709,2020,11,Karamoja,Northern,Covid period,Rural,1007,270.37036,270,North rural,3.871433317661285,4,4,84197.125,160485.97,96471.688,86297.43,51950.289,22290.822,1081.4814,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
100710,2020,11,Karamoja,Northern,Covid period,Rural,1007,229.87296,230,North rural,2.233299970626831,3,3,86062.313,166011.75,83911.758,89130.422,45186.73,39909.742,689.6189,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
1008,2020,2,Buganda North,Central,Before covid,Rural,10,336.0806,336,Centrral urban,.8627333045005798,1,1,73563.797,149767.7,86010.563,81429.469,45503.418,94385.445,336.0806,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 4,7
100803,2020,9,Karamoja,Northern,Covid period,Urban,1008,168.42096,168,North urban,.8694999814033508,1,1,463126.38,852135.38,337998.38,457894.44,180680.14,526618.13,168.42096,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 5,10
100805,2020,9,Karamoja,Northern,Covid period,Urban,1008,168.42096,168,North urban,2.442833304405212,4,4,686305.94,1262023.5,504394.38,678498.31,269628.66,277750.56,673.68384,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 5,10
100806,2020,9,Karamoja,Northern,Covid period,Urban,1008,202.89998,203,North urban,.9922666549682617,1,1,566133.94,1044063.1,374859.56,560331.5,200384.64,564698.5,202.89998,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 5,10
100807,2020,9,Karamoja,Northern,Covid period,Urban,1008,202.89998,203,North urban,1.004833340644836,1,1,176843.72,322982.09,212420.42,173555.66,113551.3,172720.84,202.89998,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 5,9
100809,2020,9,Karamoja,Northern,Covid period,Urban,1008,202.89998,203,North urban,.9922666549682617,1,1,808189.94,1488630.6,437336.16,801420.31,233782.08,807666.25,202.89998,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 5,10
100810,2020,9,Karamoja,Northern,Covid period,Urban,1008,202.89998,203,North urban,1.867566645145416,2,2,777330.44,1418117.1,220125.88,773923.13,117670.31,414401.88,405.79996,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 5,10
1009,2020,2,Buganda North,Central,Before covid,Rural,10,309.31247,309,Centrral urban,3.470333322882652,5,5,159042.08,317391.19,204761.08,171971.75,108327.73,49554.82,1546.5624,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Poor,Quintile 2,3
100901,2020,2,Karamoja,Northern,Before covid,Urban,1009,886.99438,887,North urban,.9922666549682617,1,1,89249.922,160731.83,72889.359,88133.305,38561.719,88820.18,886.99438,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 4,7
100902,2020,2,Karamoja,Northern,Before covid,Urban,1009,826.70319,827,North urban,3.271599948406219,5,5,289598.44,519465.22,168270.3,287020.63,89022.484,87730.969,4133.5161,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 4,7
100903,2020,2,Karamoja,Northern,Before covid,Urban,1009,773.94843,774,North urban,2.986833319067955,4,4,435142.69,783364.06,355491.84,429696.75,188071.02,143863.66,3095.7937,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 5,9
100904,2020,2,Karamoja,Northern,Before covid,Urban,1009,786.50909,787,North urban,4.305099964141846,6,6,261519.28,471209.16,242200.92,257808.91,128135.08,59884.535,4719.0547,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 3,5
100905,2020,2,Karamoja,Northern,Before covid,Urban,1009,886.99438,887,North urban,1.004833340644836,1,1,185070.97,331165.88,87467.234,183731.02,46274.063,182847.25,886.99438,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 5,10
100906,2020,2,Karamoja,Northern,Before covid,Urban,1009,786.50909,787,North urban,4.457199931144714,6,6,119620.91,217679.64,107043.23,117981.08,56630.641,26469.775,4719.0547,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Poor,Poor,Quintile 1,1
100907,2020,2,Karamoja,Northern,Before covid,Urban,1009,736.26642,736,North urban,1.500999987125397,2,2,65495.531,118890.82,64350.895,64509.719,34044.488,42977.828,1472.5328,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Poor,Poor,Quintile 2,3
100908,2020,2,Karamoja,Northern,Before covid,Urban,1009,766.41199,766,North urban,3.709933280944824,5,5,164953.67,297690,80447.32,164037.77,42560.215,44215.828,3832.0601,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Poor,Quintile 2,3
100909,2020,2,Karamoja,Northern,Before covid,Urban,1009,811.63037,812,North urban,2.582499995827675,4,4,314050.34,560652.56,114748.68,312292.47,60707.164,120926.41,3246.5215,11463.445,16304.146,30611.451,43537.836,65508,86274,50959.242,38693.445,Non-poor,Non-poor,Quintile 4,8
101,2019,11,Buganda North,Central,Before covid,Urban,1,884.26312,884,Central urban,1.004833340644836,1,1,364928.06,615229.13,255133.27,340899.19,136639.5,339259.44,884.26312,11463.445,17313.682,30611.451,46233.648,68217,95622,56480.805,40293.563,Non-poor,Non-poor,Quintile 5,10
1010,2020,2,Buganda North,Central,Before covid,Rural,10,302.62042,303,Centrral urban,4.058266639709473,5,5,596183.56,1116640.9,351760.28,617694.63,186096.86,152206.52,1513.1021,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 5,9
101001,2019,9,Karamoja,Northern,Before covid,Rural,1010,287.45111,287,North rural,2.61146667599678,4,4,132907.94,252910.03,199419.48,137493.66,107701.16,52649.977,1149.8044,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,4
101002,2019,9,Karamoja,Northern,Before covid,Rural,1010,293.49359,293,North rural,3.304500013589859,5,5,77485.398,146300.19,114783.45,79991.656,61991.488,24206.887,1467.468,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101003,2019,9,Karamoja,Northern,Before covid,Rural,1010,272.34494,272,North rural,3.533100008964539,4,4,42489.422,82569.219,67758.711,45059.477,36594.68,12753.524,1089.3798,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101004,2019,9,Karamoja,Northern,Before covid,Rural,1010,257.23877,257,North rural,2.305466711521149,3,3,71729.906,132733.81,66398.727,73334.016,35860.188,31808.75,771.71631,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101005,2019,10,Karamoja,Northern,Before covid,Rural,1010,272.34494,272,North rural,3.401633322238922,4,4,55048.586,105634.45,74903.961,57638.922,40150.066,16944.484,1089.3798,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101006,2019,9,Karamoja,Northern,Before covid,Rural,1010,281.40863,281,North rural,3.71453332901001,5,5,39196.051,75667.68,58354.172,41431.895,31515.537,11153.997,1407.0432,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101007,2019,9,Karamoja,Northern,Before covid,Rural,1010,287.45111,287,North rural,2.412833333015442,4,4,65496.047,122008.56,66249.852,67251.203,35779.785,27872.295,1149.8044,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101008,2019,9,Karamoja,Northern,Before covid,Rural,1010,302.55728,303,North rural,2.786599963903427,4,4,126231.46,234448.69,95578.438,128318.38,51619.375,46048.367,1210.2291,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,3
101009,2019,9,Karamoja,Northern,Before covid,Rural,1010,257.23877,257,North rural,1.243699967861176,2,2,26254.049,49900.496,42018.496,27189.879,22693.074,21862.088,514.47754,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
10101,2019,12,Buganda North,Central,Before covid,Rural,101,972.04846,972,Centrral urban,1.867566645145416,2,2,48099.063,95762.797,66426.789,52002.359,35596.586,27844.982,1944.0969,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,1
101010,2019,9,Karamoja,Northern,Before covid,Rural,1010,257.23877,257,North rural,.8636999726295471,1,1,24400.9,44329.449,14981.696,24853.936,8091.2163,28776.121,257.23877,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
10102,2019,12,Buganda North,Central,Before covid,Rural,101,952.69305,953,Centrral urban,4.741899967193604,5,5,102986.41,207484.09,166184.09,112348.08,89054.227,23692.629,4763.4653,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,1
10103,2019,12,Buganda North,Central,Before covid,Rural,101,913.98218,914,Centrral urban,3.590766578912735,5,5,311692.5,617337.69,317672.88,339306.25,170233.58,94494.102,4569.9111,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 4,7
10104,2019,12,Buganda North,Central,Before covid,Rural,101,913.98218,914,Centrral urban,4.406866610050201,5,5,271303.88,494089.34,150932.56,275018.88,80881.289,62406.898,4569.9111,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 3,5
10105,2019,12,Buganda North,Central,Before covid,Rural,101,930.57257,931,Centrral urban,5.387266665697098,7,7,248764.89,474222,218452.11,261791.66,117063.45,48594.523,6514.0078,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Poor,Quintile 2,3
10107,2019,12,Buganda North,Central,Before covid,Rural,101,923.65991,924,Centrral urban,1.636533319950104,2,2,52902.961,99033.047,55925.906,54279.5,29969.406,33167.367,1847.3198,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,2
10108,2019,12,Buganda North,Central,Before covid,Rural,101,972.04846,972,Centrral urban,.8627333045005798,1,1,16587.152,31861.303,17461.303,17478.938,9357.1104,20259.955,972.04846,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Poor,Poor,Quintile 1,1
10109,2019,12,Buganda North,Central,Before covid,Rural,101,894.62677,895,Centrral urban,3.780099987983704,5,5,392611.63,736156.19,329922.38,405660.75,176797.8,107314.82,4473.1338,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 4,8
10110,2019,12,Buganda North,Central,Before covid,Rural,101,875.27136,875,Centrral urban,1.473699986934662,2,2,131438.13,253123.59,193965.67,137314.36,103941.73,93176.602,1750.5427,11463.445,15946.951,30611.451,42584,63980,87530,51701.121,37790.902,Non-poor,Non-poor,Quintile 4,7
101105,2020,9,Karamoja,Northern,Covid period,Rural,1011,141.87323,142,North rural,3.891766637563705,6,6,60022.52,117643.27,65932.109,63079.035,35244.617,16208.329,851.23938,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101106,2020,9,Karamoja,Northern,Covid period,Rural,1011,143.93362,144,North rural,3.213266626000404,5,5,59484.348,113182.74,56747.125,60838.301,30334.699,18933.475,719.66809,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101107,2020,9,Karamoja,Northern,Covid period,Rural,1011,152.17516,152,North rural,2.130833327770233,3,3,47691.262,90904.242,40994.66,48872.074,21914.074,22935.662,456.52545,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101108,2020,9,Karamoja,Northern,Covid period,Rural,1011,147.0242,147,North rural,2.835833311080933,4,4,64370.98,127322.43,83341.609,68257.328,44551.027,24069.584,588.0968,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101109,2020,9,Karamoja,Northern,Covid period,Rural,1011,150.11476,150,North rural,3.499933302402496,5,5,61129.273,119460.66,71696.273,64059.719,38325.902,18303.125,750.57379,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101110,2020,9,Karamoja,Northern,Covid period,Rural,1011,152.17516,152,North rural,2.386599957942963,3,3,62636.844,120730.14,59530.137,64791.191,31822.383,27147.906,456.52545,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
101201,2020,2,Karamoja,Northern,Before covid,Rural,1012,308.68655,309,North rural,.7738000154495239,1,1,34397.496,65539.148,18666.156,35203.387,9875.2285,45494.168,308.68655,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,3
101202,2020,2,Karamoja,Northern,Before covid,Rural,1012,332.85645,333,North rural,2.51120001077652,3,3,105646.97,197631.19,103952.71,107870.39,54995.613,42955.715,998.56934,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Poor,Quintile 2,3
101203,2020,2,Karamoja,Northern,Before covid,Rural,1012,329.40359,329,North rural,5.016600042581558,7,7,161788.09,297672.81,106074.2,164056.89,56117.973,32702.805,2305.8252,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
101205,2020,2,Karamoja,Northern,Before covid,Rural,1012,337.6904,338,North rural,3.451599985361099,5,5,195054.66,365634.13,168228.66,199823.66,89000.453,57893.051,1688.452,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 2,4
101206,2020,2,Karamoja,Northern,Before covid,Rural,1012,308.68655,309,North rural,.7738000154495239,1,1,27345.42,50247.758,14962.044,27665.438,7915.5879,35752.695,308.68655,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,2
101207,2020,2,Karamoja,Northern,Before covid,Rural,1012,308.68655,309,North rural,1.107666656374931,2,2,112930.44,211743.84,100988.66,115342.93,53427.496,104131.45,617.37311,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Non-poor,Non-poor,Quintile 4,8
101208,2020,2,Karamoja,Northern,Before covid,Rural,1012,344.94138,345,North rural,3.181166648864746,4,4,80503.672,152674.14,73183.547,82773.641,38717.355,26019.9,1379.7655,11463.445,15610.21,30611.451,41684.781,60315,74840,44205.551,35626.109,Poor,Poor,Quintile 1,1
